Region,Grade,Sample Name,Absorbance,Concentration
Dimbula Region,BOP,DIM_BOP_001,0.264,27.6034483
Dimbula Region,BOP,DIM_BOP_002,0.389,38.3793103
Dimbula Region,BOP,DIM_BOP_003,0.448,43.4655172
Dimbula Region,BOP,DIM_BOP_004,0.373,37
Dimbula Region,BOP,DIM_BOP_005,0.594,56.0517241
Dimbula Region,BOP,DIM_BOP_006,0.5415,51.5258621
Dimbula Region,BOP,DIM_BOP_007,0.446,43.2931034
Dimbula Region,BOP,DIM_BOP_008,0.44,42.7758621
Dimbula Region,BOP,DIM_BOP_009,0.4715,45.4913793
Dimbula Region,BOP,DIM_BOP_010,0.507,48.5517241
Dimbula Region,DUST,DIM_DUST_001,0.2565,26.9568966
Dimbula Region,DUST,DIM_DUST_002,0.2335,24.9741379
Dimbula Region,DUST,DIM_DUST_003,0.235,25.1034483
Dimbula Region,DUST,DIM_DUST_004,0.236,25.1896552
Dimbula Region,DUST,DIM_DUST_005,0.2667,27.8362069
Dimbula Region,DUST,DIM_DUST_006,0.2865,29.5431034
Dimbula Region,DUST,DIM_DUST_007,0.24,25.5344828
Dimbula Region,DUST,DIM_DUST_008,0.2565,26.9568966
Dimbula Region,DUST,DIM_DUST_009,0.2645,27.6465517
Dimbula Region,DUST,DIM_DUST_010,0.283,29.2413793
Dimbula Region,DUST,DIM_DUST_011,0.2885,29.7155172
Dimbula Region,DUST,DIM_DUST_012,0.2695,28.0775862
Dimbula Region,DUST,DIM_DUST_013,0.2035,22.387931
Dimbula Region,DUST,DIM_DUST_014,0.237,25.2758621
Ruhuna Region,OP,RU_OP_001,0.435,42.3448276
Ruhuna Region,OP,RU_OP_002,0.291,29.9310345
Ruhuna Region,OP,RU_OP_003,0.373,37
Ruhuna Region,OP,RU_OP_004,0.475,45.7931034
Ruhuna Region,OP,RU_OP_005,0.259,27.1724138
Ruhuna Region,OP,RU_OP_006,0.435,42.3448276
Ruhuna Region,OP,RU_OP_007,0.2425,25.75
Ruhuna Region,OP,RU_OP_008,0.3825,37.8189655
Ruhuna Region,OP,RU_OP_009,0.415,40.6206897
Ruhuna Region,OP,RU_OP_010,0.331,33.3793103
Sabaragamuwa Region,BOPF,SB_BOPF_001,0.346,36.02727273
Sabaragamuwa Region,BOPF,SB_BOPF_002,0.413,42.11818182
Sabaragamuwa Region,BOPF,SB_BOPF_003,0.276,29.66363636
Sabaragamuwa Region,BOPF,SB_BOPF_004,0.293,31.20909091
Sabaragamuwa Region,BOPF,SB_BOPF_005,0.297,31.57272727
Sabaragamuwa Region,BOPF,SB_BOPF_006,0.36,37.3
Sabaragamuwa Region,BOPF,SB_BOPF_007,0.33,34.57272727
Sabaragamuwa Region,BOPF,SB_BOPF_008,0.359,37.20909091
Sabaragamuwa Region,BOPF,SB_BOPF_009,0.316,33.3
Sabaragamuwa Region,BOPF,SB_BOPF_010,0.348,36.20909091